Judul; Anggaran Pendapatan Belanja Daerah;;
Daerah; Kota Yogyakarta;;
Tahun;;;
Kode Organisasi;1.06.01;;
Nama Organisasi;Badan Perencanaan Pembangunan Daerah;;
Kolom;4;;
KODE REKENING ;URAIAN ;ANGGARAN ;PENJELASAN
1.06.1.06.01.063.06.5.2.2.15.01;Belanja Perjalanan Dinas Dalam Daerah;3375000;Belanja Perjalanan Dinas Dalam Daerah 3.375.000
1.06.1.06.01.063.06.5.2.2.21;Belanja Jasa Konsultansi;449500000;
1.06.1.06.01.063.06.5.2.2.21.01;Belanja Jasa Konsultansi Penelitian;49500000;Belanja Jasa Konsultansi Penelitian 49.500.000
1.06.1.06.01.063.06.5.2.2.21.05;Belanja Jasa Konsultansi Kajian;400000000;Belanja Jasa Konsultansi Kajian 400.000.000
1.06.1.06.01.063.06.5.2.2.33;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator;5600000;
1.06.1.06.01.063.06.5.2.2.33.01;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator;5600000;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator 5.600.000
1.06.1.06.01.064.00;Program Penelitian dan Pengembangan Daerah;670073500;
1.06.1.06.01.064.01;Pengelolaan Jaringan Penelitian;180436000;
1.06.1.06.01.064.01.5.2.1;BELANJA PEGAWAI;62490000;
1.06.1.06.01.064.01.5.2.1.01;Honorarium PNS;62490000;
1.06.1.06.01.064.01.5.2.1.01.01;Honorarium Panitia Pelaksana Kegiatan;61965000;Honorarium Panitia Pelaksana Kegiatan 61.965.000
1.06.1.06.01.064.01.5.2.1.01.02;Honorarium Tim Pengadaan Barang/Jasa;525000;Honorarium Tim Pengadaan Barang/Jasa 525.000
1.06.1.06.01.064.01.5.2.2;BELANJA BARANG DAN JASA;117946000;
1.06.1.06.01.064.01.5.2.2.01;Belanja Bahan Pakai Habis ;3500000;
1.06.1.06.01.064.01.5.2.2.01.01;Belanja  Alat Tulis Kantor;3500000;Belanja  Alat Tulis Kantor 3.500.000
1.06.1.06.01.064.01.5.2.2.06;Belanja Cetak Dan Penggandaan;14796000;
1.06.1.06.01.064.01.5.2.2.06.02;Belanja Penggandaan;14796000;Belanja Penggandaan 14.796.000
1.06.1.06.01.064.01.5.2.2.11;Belanja Makanan Dan Minuman;39675000;
1.06.1.06.01.064.01.5.2.2.11.02;Belanja Makanan Dan Minuman Rapat;39675000;Belanja Makanan Dan Minuman Rapat 39.675.000
1.06.1.06.01.064.01.5.2.2.15;Belanja Perjalanan Dinas;4375000;
1.06.1.06.01.064.01.5.2.2.15.01;Belanja Perjalanan Dinas Dalam Daerah;4375000;Belanja Perjalanan Dinas Dalam Daerah 4.375.000
1.06.1.06.01.064.01.5.2.2.21;Belanja Jasa Konsultansi;49500000;
1.06.1.06.01.064.01.5.2.2.21.01;Belanja Jasa Konsultansi Penelitian;49500000;Belanja Jasa Konsultansi Penelitian 49.500.000
1.06.1.06.01.064.01.5.2.2.33;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator;6100000;
1.06.1.06.01.064.01.5.2.2.33.01;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator;6100000;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator 6.100.000
1.06.1.06.01.064.04;Penjaringan Aspirasi Masyarakat;128190000;
1.06.1.06.01.064.04.5.2.1;BELANJA PEGAWAI;7040000;
1.06.1.06.01.064.04.5.2.1.01;Honorarium PNS;7040000;
1.06.1.06.01.064.04.5.2.1.01.01;Honorarium Panitia Pelaksana Kegiatan;7040000;Honorarium Panitia Pelaksana Kegiatan 7.040.000
1.06.1.06.01.064.04.5.2.2;BELANJA BARANG DAN JASA;121150000;
1.06.1.06.01.064.04.5.2.2.06;Belanja Cetak Dan Penggandaan;2475000;
1.06.1.06.01.064.04.5.2.2.06.02;Belanja Penggandaan;2475000;Belanja Penggandaan 2.475.000
1.06.1.06.01.064.04.5.2.2.11;Belanja Makanan Dan Minuman;3675000;
1.06.1.06.01.064.04.5.2.2.11.02;Belanja Makanan Dan Minuman Rapat;3675000;Belanja Makanan Dan Minuman Rapat 3.675.000
1.06.1.06.01.064.04.5.2.2.21;Belanja Jasa Konsultansi;115000000;
1.06.1.06.01.064.04.5.2.2.21.05;Belanja Jasa Konsultansi Kajian;115000000;Belanja Jasa Konsultansi Kajian 115.000.000
1.06.1.06.01.064.05;Penelitian dan Pengembangan Ekonomi, Sosial dan Budaya;305705000;
1.06.1.06.01.064.05.5.2.1;BELANJA PEGAWAI;18920000;
1.06.1.06.01.064.05.5.2.1.01;Honorarium PNS;18920000;
1.06.1.06.01.064.05.5.2.1.01.01;Honorarium Panitia Pelaksana Kegiatan;18920000;Honorarium Panitia Pelaksana Kegiatan 18.920.000
1.06.1.06.01.064.05.5.2.2;BELANJA BARANG DAN JASA;286785000;
1.06.1.06.01.064.05.5.2.2.06;Belanja Cetak Dan Penggandaan;5760000;
