Judul;BAPPEDA;;;
Kode  ORGANISASI : ;1.06.01;;;
tahun;2016;;;
kabupaten;kota;;;
;;;;
;;;;
No rekening;Uraian;anggaran;penjelasan;
1.06.1.06.01.043.001.5.2.2.31 ;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ;13200000;;
1.06.1.06.01.043.001.5.2.2.31.03 ;Belanja Jasa Narasumber ;13200000;Belanja Jasa Narasumber 13200000;
1.06.1.06.01.043.001.5.2.2.31.04 ;Belanja Jasa Moderator ;450000;Belanja Jasa Moderator 450000;
1.06.1.06.01.043.002 ;Penjaringan Aspirasi Masyarakat ;127140000;;
1.06.1.06.01.043.002.5.2.1 ;BELANJA PEGAWAI ;9840000;;
1.06.1.06.01.043.002.5.2.1.01 ;Honorarium PNS ;9840000;;
1.06.1.06.01.043.002.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;9840000;Honorarium Panitia Pelaksana Kegiatan 9840000;
1.06.1.06.01.043.002.5.2.2 ;BELANJA BARANG DAN JASA ;117300000;;
1.06.1.06.01.043.002.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;2190000;;
1.06.1.06.01.043.002.5.2.2.06.02 ;Belanja Penggandaan ;2190000;Belanja Penggandaan 2190000;
1.06.1.06.01.043.002.5.2.2.11 ;Belanja Makanan Dan Minuman ;4110000;;
1.06.1.06.01.043.002.5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;4110000;Belanja Makanan Dan Minuman Rapat 4110000;
1.06.1.06.01.043.002.5.2.2.21 ;Belanja Jasa Konsultansi ;111000000;;
