Judul;Penjabaran Anggaran Pendaptan Belanja Daerah;;
1.17.1.17.01.071.002.5.2.2.10.04 ;Belanja Sewa Generator ;4000000;Belanja Sewa Generator 4000000
1.17.1.17.01.071.002.5.2.2.10.06 ;Belanja Sewa Pakaian Adat/Tradisional ;16125000;Belanja Sewa Pakaian Adat/Tradisional 16125000
1.17.1.17.01.071.002.5.2.2.10.09 ;Belanja Sewa Perlengkapan/Peralatan ;46000000;Belanja Sewa Perlengkapan/Peralatan 46000000
1.17.1.17.01.071.002.5.2.2.11 ;Belanja Makanan Dan Minuman ;56144000;
1.17.1.17.01.071.002.5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;9200000;Belanja Makanan Dan Minuman Rapat 9200000
1.17.1.17.01.071.002.5.2.2.11.03 ;Belanja Makanan Dan Minuman Tamu ;46944000;Belanja Makanan Dan Minuman Tamu 46944000
1.17.1.17.01.071.002.5.2.2.13 ;Belanja Pakaian Kerja ;18450000;
1.17.1.17.01.071.002.5.2.2.13.01 ;Belanja Pakaian Kerja Lapangan ;18450000;Belanja Pakaian Kerja Lapangan 18450000
1.17.1.17.01.071.002.5.2.2.15 ;Belanja Perjalanan Dinas ;320750000;
1.17.1.17.01.071.002.5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;320750000;Belanja Perjalanan Dinas Luar Daerah 320750000
1.17.1.17.01.071.002.5.2.2.31 ;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ;271925000;
1.17.1.17.01.071.002.5.2.2.31.01 ;Belanja Jasa Tenaga Ahli ;271925000;Belanja Jasa Tenaga Ahli 271925000
1.17.1.17.01.071.002.5.2.2.32 ;Belanja Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ;18000000;
1.17.1.17.01.071.002.5.2.2.32.02 ;Belanja Uang Untuk Diberikan Kepada Masyarakat ;18000000;Belanja Uang Untuk Diberikan Kepada Masyarakat 18000000Hadiah Festival Seni Pertunjukan Rakyat 18000000
2.04.1.17.01.143 ;Program Pengembangan Promosi dan Kerjasama Pariwisata ;4262757630;
2.04.1.17.01.143.001 ;Pengembangan Promosi Pariwisata ;3228237280;
2.04.1.17.01.143.001.5.2.1 ;BELANJA PEGAWAI ;126725000;
2.04.1.17.01.143.001.5.2.1.01 ;Honorarium PNS ;86075000;
2.04.1.17.01.143.001.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;84775000;Honorarium Panitia Pelaksana Kegiatan 84775000
2.04.1.17.01.143.001.5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;1300000;Honorarium Tim Pengadaan Barang dan Jasa 1300000
2.04.1.17.01.143.001.5.2.1.02 ;Honorarium Non PNS ;40650000;
2.04.1.17.01.143.001.5.2.1.02.01 ;Honorarium Panitia Pelaksana Kegiatan ;35400000;Honorarium Panitia Pelaksana Kegiatan 35400000
2.04.1.17.01.143.001.5.2.1.02.03 ;Honorarium Pelaksana Kegiatan ;5250000;Honorarium Pelaksana Kegiatan 5250000
2.04.1.17.01.143.001.5.2.2 ;BELANJA BARANG DAN JASA ;3101512280;
2.04.1.17.01.143.001.5.2.2.02 ;Belanja Bahan/Material ;82650000;
2.04.1.17.01.143.001.5.2.2.02.07 ;Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ;50000000;Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 50000000
2.04.1.17.01.143.001.5.2.2.02.11 ;Belanja Plakat/Cinderamata ;32650000;Belanja Plakat/Cinderamata 32650000
